SA2,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Total
Bankstown - South,146,28,559,330,214,714,3,99,105,261,2461
Belmore - Belfield,223,52,688,400,291,707,0,42,131,191,2722
Canterbury (South) - Campsie,672,82,1500,671,373,1278,0,116,197,404,5293
Kingsgrove (North) - Earlwood,318,86,963,458,291,623,0,27,103,249,3114
Punchbowl,210,39,559,374,281,942,0,118,130,251,2910
Roselands,146,28,484,297,185,507,0,58,80,118,1896
Lakemba,335,46,663,245,190,697,0,141,109,216,2643
Wiley Park,222,17,438,185,118,468,0,67,63,165,1750
Hurstville,914,76,1337,420,191,823,0,60,129,240,4184
Mortdale - Penshurst,540,105,1345,432,326,712,0,47,114,259,3887
Narwee - Beverly Hills,230,37,594,257,154,445,0,38,89,121,1976
Oatley - Hurstville Grove,228,44,638,199,134,238,0,9,59,64,1610
Peakhurst - Lugarno,193,67,644,333,216,444,0,15,87,106,2113
Riverwood,214,30,462,168,117,394,0,48,77,118,1623
South Hurstville - Blakehurst,617,61,1184,445,212,685,3,37,111,155,3516
Arncliffe - Bardwell Valley,832,111,1554,501,255,797,0,48,125,397,4624
Bexley,529,65,1272,510,329,960,0,57,154,272,4146
Kingsgrove (South) - Bardwell Park,181,45,551,221,137,354,0,25,62,101,1679
Kogarah,380,47,852,225,151,347,0,10,54,128,2204
Kogarah Bay - Carlton - Allawah,344,57,849,343,190,506,0,31,82,153,2562
Monterey - Brighton-le-Sands - Kyeemagh,183,54,668,325,193,440,0,23,103,214,2200
Rockdale - Banksia,569,67,1267,422,230,753,0,33,129,273,3745
Sans Souci - Ramsgate,163,55,617,342,224,448,0,18,89,187,2135
Concord - Mortlake - Cabarita,419,90,1124,388,188,474,0,17,101,167,2966
Concord West - North Strathfield,1399,137,2041,472,195,681,0,22,113,362,5432
Drummoyne - Rodd Point,424,130,1178,351,178,356,0,10,73,263,2962
