SA2,Nil distance,Over 0 km to less than 2.5 km,2.5 km to less than 10 km,10 km to less than 30 km,30 km to less than 50 km,50 km to less than 250 km,250 km and over,Not applicable,Total
Monterey - Brighton-le-Sands - Kyeemagh,80,137,453,770,35,16,9,689,2200
Rockdale - Banksia,57,227,672,1541,59,8,11,1173,3745
Sans Souci - Ramsgate,82,105,391,892,39,13,5,603,2135
Concord - Mortlake - Cabarita,110,172,555,1299,47,11,11,772,2966
Concord West - North Strathfield,120,332,741,2352,54,10,13,1816,5432
Drummoyne - Rodd Point,110,144,1399,550,39,5,8,714,2962
Five Dock - Abbotsford,129,167,1247,908,35,5,17,797,3302
Balmain,123,164,1334,337,37,11,11,660,2674
Leichhardt - Annandale,207,404,2444,748,75,17,17,1098,5011
Lilyfield - Rozelle,118,162,1348,387,33,4,3,611,2672
Ashfield,92,288,1593,1184,53,8,21,1419,4661
Burwood - Croydon,86,339,721,1612,42,9,18,1461,4294
Canterbury (North) - Ashbury,44,72,507,578,16,6,6,414,1654
Croydon Park - Enfield,84,153,630,928,28,0,8,710,2546
Dulwich Hill - Lewisham,77,158,1560,651,35,15,13,726,3237
Haberfield - Summer Hill,76,133,1039,410,22,5,4,485,2179
Homebush,37,175,519,1356,29,5,8,1353,3488
Strathfield,85,266,538,1738,49,13,5,1388,4079
Strathfield South,7,16,110,204,3,0,3,176,523
Chatswood (East) - Artarmon,122,719,1667,1190,20,10,12,1868,5601
Chatswood (West) - Lane Cove North,103,336,1306,1291,18,12,11,983,4061
Lane Cove - Greenwich,128,306,1523,1011,50,14,8,941,3976
St Leonards - Naremburn,59,368,1118,324,27,9,7,599,2511
Willoughby - Castle Cove - Northbridge,183,205,1212,608,32,10,16,864,3128
Asquith - Mount Colah,135,69,456,902,214,17,4,594,2386
Berowra - Brooklyn - Cowan,91,65,69,483,351,35,0,309,1400
Normanhurst - Thornleigh - Westleigh,97,103,333,1032,55,10,3,532,2169
Hornsby - East,53,336,258,981,51,19,4,811,2505
Hornsby - West,58,141,165,621,49,6,3,473,1516
Waitara - Wahroonga (West),45,166,152,793,38,11,7,571,1775
Gordon - Killara,100,73,483,1048,21,11,10,816,2561
Lindfield - Roseville,163,150,632,1059,23,16,16,769,2825
Pymble,118,68,347,800,18,11,12,485,1853
St Ives,178,94,348,989,36,9,9,666,2329
Turramurra,138,62,355,859,20,16,5,479,1938
