SA2,"Employed, worked full-time","Employed, worked part-time","Employed, away from work","Unemployed, looking for full-time work","Unemployed, looking for part-time work",Not in the labour force,Not stated,Total
Wollongong - East,840,408,64,45,48,415,191,2016
Wollongong - West,823,612,96,44,65,610,99,2355
Bulahdelah - Stroud,116,140,16,13,7,108,31,426
Forster,324,434,58,35,25,291,69,1237
Forster-Tuncurry Region,93,191,22,13,15,157,29,523
Tuncurry,112,124,11,13,11,114,27,407
Kempsey,324,407,63,60,46,514,132,1537
Kempsey Region,196,269,35,20,15,223,59,820
Macksville - Scotts Head,118,131,21,15,12,113,30,444
Nambucca Heads,118,142,18,21,15,192,37,541
Nambucca Heads Region,157,231,35,20,17,207,44,700
South West Rocks,115,131,24,13,12,107,20,415
Lord Howe Island,16,17,6,0,0,6,10,56
Laurieton - Bonny Hills,367,443,69,30,34,287,67,1299
Port Macquarie - East,1024,1009,116,57,55,592,115,2971
Port Macquarie - West,590,578,67,23,28,388,104,1778
Port Macquarie Region,138,143,30,11,5,121,52,498
Wauchope,340,379,46,32,22,279,72,1171
Gloucester,88,141,11,16,14,140,32,425
Old Bar - Manning Point - Red Head,269,361,41,18,34,215,32,969
Taree,512,620,64,62,69,647,110,2077
Taree Region,237,317,35,32,32,256,72,976
Wingham,115,169,16,19,7,161,23,520
Albury - East,797,789,106,29,49,307,92,2168
Albury - North,378,382,57,35,23,257,105,1249
Albury - South,402,379,57,28,20,204,94,1178
Albury Region,320,451,55,18,23,235,80,1179
Lavington,447,564,86,56,43,468,123,1787
Hay,72,99,10,0,11,63,41,293
Wentworth - Buronga,167,200,30,16,5,153,67,631
Wentworth-Balranald Region,118,110,25,3,4,91,43,392
Corowa,129,167,26,14,12,96,24,478
Corowa Region,186,233,38,6,3,118,46,635
Deniliquin,254,271,28,8,24,150,60,803
Deniliquin Region,185,214,28,5,9,120,51,613
Moama,239,227,39,4,7,90,37,640
Tocumwal - Finley - Jerilderie,264,325,41,28,13,183,94,955
Armidale,893,770,123,59,66,668,186,2765
Armidale Region - North,148,162,11,5,11,108,36,484
Armidale Region - South,179,239,26,10,15,108,37,611
Walcha,71,107,12,8,7,71,29,307
Glen Innes,234,244,34,21,12,219,71,830
Inverell,380,383,59,42,36,330,79,1307
Inverell Region - East,92,164,24,17,4,153,56,510
Inverell Region - West,165,171,29,15,9,136,45,574
Tenterfield,148,171,26,12,18,169,54,596
Moree,401,234,53,29,21,249,119,1110
Moree Region,187,177,33,11,7,151,81,651
Narrabri,316,261,41,22,13,164,63,891
Narrabri Region,149,159,28,12,9,129,70,550
Gunnedah,392,338,51,31,23,248,71,1154
Gunnedah Region,127,129,20,12,6,103,32,421
Quirindi,207,230,42,24,30,219,66,812
Tamworth - East,899,741,113,74,46,480,149,2513
Tamworth - North,783,551,94,38,33,341,129,1969
Tamworth - West,203,198,30,30,24,206,71,763
Tamworth Region,738,619,88,45,27,353,131,2005
Belmont - Bennetts Green,597,751,107,39,41,358,65,1955
Belmont South - Blacksmiths,172,208,32,5,21,108,22,574
Charlestown - Dudley,1148,1218,192,53,48,531,133,3322
Glendale - Cardiff - Hillsborough,1124,1110,146,57,66,552,93,3154
Mount Hutton - Windale,278,319,52,27,24,315,65,1079
Redhead,89,147,14,0,5,68,12,332
Swansea - Caves Beach,320,395,81,15,23,235,34,1102
Valentine - Eleebana,393,504,65,19,33,186,13,1207
Warners Bay - Boolaroo,535,551,70,35,26,262,59,1534
Bolton Point - Teralba,254,297,41,29,22,256,39,929
Bonnells Bay - Silverwater,297,339,55,17,29,192,24,954
Edgeworth - Cameron Park,774,778,143,26,37,388,60,2206
Morisset - Cooranbong,439,486,60,32,27,379,64,1486
Toronto - Awaba,400,476,72,35,32,325,45,1390
Wangi Wangi - Rathmines,314,340,45,17,24,178,29,946
West Wallsend - Barnsley - Killingworth,286,303,46,23,19,176,33,885
Adamstown - Kotara,796,801,117,39,31,325,38,2150
Beresfield - Hexham,304,281,47,40,34,282,49,1035
Hamilton - Broadmeadow,603,504,83,36,35,255,86,1590
Lambton - New Lambton,830,783,136,31,38,340,87,2246
Maryland - Fletcher - Minmi,732,753,116,35,43,347,59,2085
Mayfield - Warabrook,897,687,116,67,56,433,103,2356
Merewether - The Junction,805,627,88,22,26,207,54,1834
Newcastle - Cooks Hill,874,416,62,34,33,222,118,1765
Newcastle Port - Kooragang,0,0,0,0,0,0,0,5
Shortland - Jesmond,341,354,56,44,57,497,61,1406
Stockton - Fullerton Cove,248,226,49,19,15,143,45,740
Wallsend - Elermore Vale,884,774,114,63,50,561,93,2537
Waratah - North Lambton,601,512,119,42,36,317,57,1686
Wickham - Carrington - Tighes Hill,646,448,67,20,28,188,64,1460
Ballina,493,551,64,34,27,368,115,1654
Ballina Region,502,613,76,19,41,350,106,1700
Bangalow,176,277,33,10,14,118,76,702
Brunswick Heads - Ocean Shores,224,397,46,23,30,241,92,1047
Byron Bay,401,573,64,25,21,204,225,1510
Evans Head,150,158,22,11,12,98,50,501
Lennox Head - Skennars Head,295,389,46,12,14,153,35,948
Mullumbimby,163,339,33,14,19,217,106,892
Casino,329,344,71,34,34,388,81,1288
Casino Region,154,165,31,22,8,190,49,628
Goonellabah,516,507,73,28,27,333,97,1594
Kyogle,158,172,26,20,21,201,46,640
Lismore,479,601,53,42,62,472,154,1862
Lismore Region,410,553,62,32,32,372,148,1614
Kingscliff - Fingal Head,449,602,68,21,23,266,95,1528
Murwillumbah,218,318,57,18,17,263,45,941
Murwillumbah Region,204,329,42,22,17,246,85,945
Pottsville,400,597,61,24,43,361,88,1574
Tweed Heads,572,649,97,49,60,467,152,2038
Banora Point,495,575,66,27,29,308,59,1553
Terranora - North Tumblegum,104,138,16,4,15,59,17,359
Tweed Heads South,185,233,28,17,26,185,47,732
Griffith (NSW),879,748,97,47,32,532,215,2565
Griffith Region,431,504,82,30,18,288,141,1492
Leeton,366,307,45,21,28,239,83,1087
Narrandera,167,209,29,14,4,144,65,625
Tumbarumba,77,108,12,0,4,83,28,319
Tumut,182,236,27,19,14,161,55,691
Tumut Region,149,169,25,9,7,93,35,485
Cootamundra,234,220,34,22,11,183,43,743
Gundagai,106,142,15,8,3,71,27,380
Junee,204,174,27,9,11,119,47,592
Temora,164,246,37,18,10,137,36,648
Wagga Wagga - East,818,682,101,35,33,364,84,2114
Wagga Wagga - North,229,191,39,7,11,94,28,602
Wagga Wagga - South,1086,845,144,59,46,567,126,2874
Wagga Wagga - West,649,404,77,44,31,347,105,1651
Wagga Wagga Region,572,516,97,33,29,302,118,1672
Berry - Kangaroo Valley,217,277,38,9,6,139,51,735
Callala Bay - Currarong,87,89,10,9,8,72,15,297
Culburra Beach,109,137,23,18,13,90,41,424
Ettrema - Sassafras - Budawang,0,0,0,0,0,0,0,3
Huskisson - Vincentia,126,154,27,5,5,94,22,438
North Nowra - Bomaderry,516,567,71,26,27,401,86,1698
Nowra,658,705,107,57,58,646,182,2411
St Georges Basin - Erowal Bay,333,429,59,32,41,382,51,1322
Sussex Inlet - Berrara,65,106,7,0,0,77,15,280
Tomerong - Wandandian - Woollamia,94,129,15,3,7,65,22,333
Ulladulla,350,510,60,21,29,313,70,1349
Ulladulla Region,90,155,18,8,8,84,41,391
Bowral,335,335,46,11,13,227,45,1013
Hill Top - Colo Vale,240,251,29,10,12,171,36,758
Mittagong,279,365,37,6,14,156,59,918
Moss Vale - Berrima,347,382,46,13,15,222,79,1113
Robertson - Fitzroy Falls,123,112,15,4,0,60,25,346
Southern Highlands,191,186,24,9,7,108,26,550
Baulkham Hills (East),1474,938,165,71,65,704,94,3517
Baulkham Hills (West) - Bella Vista,1108,722,112,48,60,427,64,2539
Glenhaven,201,202,29,4,12,96,22,560
West Pennant Hills,641,360,55,18,19,262,30,1391
Castle Hill - Central,488,306,41,22,26,229,42,1153
Castle Hill - East,191,127,26,3,8,92,7,449
Castle Hill - North,545,379,44,22,30,287,34,1332
Castle Hill - South,551,351,49,24,37,255,43,1306
Castle Hill - West,295,177,38,7,9,133,13,680
Cherrybrook,888,546,98,45,32,402,39,2050
Kellyville,1447,980,157,50,70,601,86,3388
Dural - Kenthurst - Wisemans Ferry,839,678,101,27,29,415,101,2186
Galston - Laughtondale,194,169,23,9,6,108,14,524
Bilpin - Colo - St Albans,79,92,9,5,5,58,36,282
Kurrajong Heights - Ebenezer,969,864,138,28,20,393,148,2562
Pitt Town - McGraths Hill,555,496,46,5,12,206,48,1373
Rouse Hill - Beaumont Hills,1411,1065,153,44,49,586,115,3430
Blacktown (East) - Kings Park,1144,727,133,108,81,869,157,3216
Blacktown (North) - Marayong,1037,611,106,83,74,745,91,2749
