SA2,Very well,Well,Not well,Not at all,Not stated - both language (LANP) and proficiency (ENGP) not stated,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",Not applicable,Total
Acacia Gardens,248,61,11,0,14,0,297,643
Quakers Hill,1226,423,58,5,116,13,2024,3856
Bidwill - Hebersham - Emerton,496,243,69,16,202,13,1454,2497
Glendenning - Dean Park,472,182,32,0,46,8,598,1340
Hassall Grove - Plumpton,1121,386,70,3,131,10,1271,2996
Lethbridge Park - Tregear,746,278,52,3,235,22,1833,3165
Mount Druitt - Whalan,1161,725,248,25,165,20,1105,3445
Prospect Reservoir,0,0,0,0,7,0,5,6
Rooty Hill - Minchinbury,1136,461,87,11,118,17,1204,3038
Banksmeadow,0,0,0,0,0,0,4,7
Botany,374,137,15,4,117,4,1122,1772
Mascot - Eastlakes,1453,951,203,16,249,18,1582,4481
Pagewood - Hillsdale - Daceyville,464,271,65,7,131,10,726,1672
Port Botany Industrial,0,0,0,0,0,0,0,0
Sydney Airport,3,0,0,0,12,0,3,18
Marrickville,1022,416,150,14,408,8,3253,5283
Petersham - Stanmore,653,176,31,5,407,8,3154,4439
Sydenham - Tempe - St Peters,291,79,52,0,100,3,1036,1560
Darlinghurst,423,214,51,3,388,0,1506,2583
Erskineville - Alexandria,669,174,30,6,326,8,3112,4321
Glebe - Forest Lodge,850,333,77,6,391,3,2504,4165
Newtown - Camperdown - Darlington,810,322,72,0,466,5,3814,5489
Potts Point - Woolloomooloo,742,284,57,0,719,10,2707,4526
Pyrmont - Ultimo,1287,1141,329,12,489,11,1696,4972
Redfern - Chippendale,991,689,179,18,553,12,2493,4934
Surry Hills,691,422,148,7,447,0,2232,3947
Sydney - Haymarket - The Rocks,1508,2526,1086,45,963,45,1211,7380
Waterloo - Beaconsfield,1903,1118,198,11,699,18,3477,7419
Bondi - Tamarama - Bronte,663,217,21,3,465,9,2750,4127
Bondi Beach - North Bondi,846,215,26,0,622,4,3402,5109
Bondi Junction - Waverly,619,260,47,6,386,3,1998,3315
Centennial Park,0,0,0,0,0,0,0,0
Double Bay - Bellevue Hill,679,157,26,0,450,3,3097,4413
Dover Heights,364,70,14,0,92,0,1169,1715
Paddington - Moore Park,440,95,14,0,359,7,2533,3458
Rose Bay - Vaucluse - Watsons Bay,220,50,14,0,102,3,1027,1418
Woollahra,198,44,7,0,102,0,985,1335
Coogee - Clovelly,775,173,22,0,437,10,3868,5284
Malabar - La Perouse - Chifley,622,194,36,4,228,9,1781,2877
Kensington (NSW),620,400,50,4,189,9,1037,2312
Kingsford,624,544,98,3,118,7,877,2269
Maroubra - North,399,134,21,0,69,7,848,1477
Maroubra - South,420,133,28,0,133,0,1022,1738
Maroubra - West,520,272,74,3,103,3,667,1640
Randwick - North,644,171,31,0,198,0,2581,3634
Randwick - South,507,200,32,0,242,5,1723,2703
Bass Hill - Georges Hall,1232,366,195,23,115,9,847,2788
Chullora,79,36,14,5,14,0,30,183
Condell Park,801,248,126,17,75,7,385,1665
Greenacre - Mount Lewis,1805,522,252,32,188,17,637,3444
Padstow,706,260,77,0,83,9,1014,2143
Panania - Milperra - Picnic Point,886,296,84,9,149,5,2047,3480
Revesby,764,307,103,16,69,5,1023,2295
Yagoona - Birrong,1266,520,310,29,130,21,581,2859
Bankstown - North,1088,726,332,35,188,21,340,2733
Bankstown - South,959,593,375,37,190,12,288,2461
Belmore - Belfield,1166,479,169,18,120,18,755,2722
Canterbury (South) - Campsie,1853,1500,639,93,276,33,906,5293
Kingsgrove (North) - Earlwood,1220,241,79,4,180,21,1378,3114
Punchbowl,1344,649,288,20,139,14,451,2910
Roselands,828,272,106,12,95,18,565,1896
Lakemba,847,974,388,44,142,7,237,2643
Wiley Park,658,558,195,21,131,12,181,1750
Hurstville,1503,1475,482,53,164,10,493,4184
Mortdale - Penshurst,1222,747,134,8,205,8,1565,3887
Narwee - Beverly Hills,791,383,150,20,75,8,545,1976
Oatley - Hurstville Grove,453,183,54,3,42,5,876,1610
Peakhurst - Lugarno,633,188,54,3,59,4,1174,2113
Riverwood,571,407,166,28,87,5,367,1623
South Hurstville - Blakehurst,1314,904,267,29,104,7,889,3516
Arncliffe - Bardwell Valley,1640,1112,259,9,302,14,1293,4624
Bexley,1718,910,197,9,192,15,1108,4146
Kingsgrove (South) - Bardwell Park,704,172,64,3,62,6,656,1679
